code,location,file,cdg_node,neighbor_node,context_list,ddg_list,static_list,cluster_index
"control_printf ( SL_FAILURE , ""503 Already logged in."" )",232:2:5556:5608,/data/download/bftpd/bftpd/commands.c,"[[""True"", [1997, ""True"", ""state > STATE_USER"", ""Condition""]]]",[],"[[[""state"", ""STATE_USER"", "">""]]]",[],"[""\""503 Already logged in.\""""]",82
"control_printf ( SL_SUCCESS , ""257 \""%s\"" is the current working directory."" , my_cwd )",251:9:5971:6053,/data/download/bftpd/bftpd/commands.c,"[[""True"", [2038, ""True"", ""my_cwd"", ""Condition""]]]",[],"[[[""char *""]]]","[[[""char *"", ""bftpd_cwd_getcwd"", ""=""], ""char *""]]","[""\""257 \\\""%s\\\"" is the current working directory.\""""]",128
"control_printf ( SL_FAILURE , ""500 Type '%c' not supported."" , * params )",266:8:6456:6523,/data/download/bftpd/bftpd/commands.c,"[[""False"", [2100, ""True"", ""( * params == 'I' ) || ( * params == 'i' )"", ""Condition""]], [""False"", [2126, ""True"", ""( * params == 'A' ) || ( * params == 'a' )"", ""Condition""]]]",[],"[[[""*"", ""char *"", ""'I'"", ""=="", ""*"", ""char *"", ""'i'"", ""=="", ""||""]], [[""*"", ""char *"", ""'A'"", ""=="", ""*"", ""char *"", ""'a'"", ""=="", ""||""]]]","[[[""char *""], ""char *""]]","[""\""500 Type '%c' not supported.\""""]",100
"control_printf ( SL_SUCCESS , ""200 Transfer type changed to BINARY"" )",263:7:6338:6403,/data/download/bftpd/bftpd/commands.c,"[[""True"", [2100, ""True"", ""( * params == 'I' ) || ( * params == 'i' )"", ""Condition""]], [""False"", [2126, ""True"", ""( * params == 'A' ) || ( * params == 'a' )"", ""Condition""]]]",[],"[[[""*"", ""char *"", ""'I'"", ""=="", ""*"", ""char *"", ""'i'"", ""=="", ""||""]], [[""*"", ""char *"", ""'A'"", ""=="", ""*"", ""char *"", ""'a'"", ""=="", ""||""]]]",[],"[""\""200 Transfer type changed to BINARY\""""]",100
"control_printf ( SL_SUCCESS , ""200 Transfer type changed to ASCII"" )",260:8:6179:6243,/data/download/bftpd/bftpd/commands.c,"[[""True"", [2126, ""True"", ""( * params == 'A' ) || ( * params == 'a' )"", ""Condition""]]]",[],"[[[""*"", ""char *"", ""'A'"", ""=="", ""*"", ""char *"", ""'a'"", ""=="", ""||""]]]",[],"[""\""200 Transfer type changed to ASCII\""""]",16
"control_printf ( SL_SUCCESS , ""200 PORT %lu.%lu.%lu.%lu:%lu OK"" , a0 , a1 , a2 , a3 , ( p0 << 8 ) + p1 )",287:2:7156:7260,/data/download/bftpd/bftpd/commands.c,"[[""False"", [2228, ""True"", ""( addr != remotename . sin_addr . s_addr ) && ( strncasecmp ( config_getoption ( \""ALLOW_FXP\"" ) , \""yes\"" , 3 ) )"", ""Condition""]], [""False"", [2318, ""True"", ""epsvall"", ""Condition""]]]",[],"[[[""unsigned long"", ""remotename"", ""sin_addr"", ""s_addr"", ""!=""]], [[""strncasecmp"", ""config_getoption"", ""\""ALLOW_FXP\"""", ""\""yes\"""", ""3""]], [[""epsvall""]]]","[[[""unsigned long"", ""a1"", ""a2"", ""a3"", ""p0"", ""p1"", ""addr""], ""a3""], [[""unsigned long"", ""a1"", ""a2"", ""a3"", ""p0"", ""p1"", ""addr""], ""a2""], [[""unsigned long"", ""a1"", ""a2"", ""a3"", ""p0"", ""p1"", ""addr""], ""a1""], [[""unsigned long"", ""a1"", ""a2"", ""a3"", ""p0"", ""p1"", ""addr""], ""p0""], [[""unsigned long"", ""a1"", ""a2"", ""a3"", ""p0"", ""p1"", ""addr""], ""unsigned long""], [[""unsigned long"", ""a1"", ""a2"", ""a3"", ""p0"", ""p1"", ""addr""], ""p1""]]","[""\""200 PORT %lu.%lu.%lu.%lu:%lu OK\"""", ""8""]",101
"control_printf ( SL_FAILURE , ""500 The given address is not yours."" )",278:6:6952:7017,/data/download/bftpd/bftpd/commands.c,"[[""True"", [2228, ""True"", ""( addr != remotename . sin_addr . s_addr ) && ( strncasecmp ( config_getoption ( \""ALLOW_FXP\"" ) , \""yes\"" , 3 ) )"", ""Condition""]], [""False"", [2318, ""True"", ""epsvall"", ""Condition""]]]",[],"[[[""unsigned long"", ""remotename"", ""sin_addr"", ""s_addr"", ""!=""]], [[""strncasecmp"", ""config_getoption"", ""\""ALLOW_FXP\"""", ""\""yes\"""", ""3""]], [[""epsvall""]]]",[],"[""\""500 The given address is not yours.\""""]",101
"control_printf ( SL_FAILURE , ""500 EPSV ALL has been called."" )",272:6:6631:6690,/data/download/bftpd/bftpd/commands.c,"[[""True"", [2318, ""True"", ""epsvall"", ""Condition""]]]",[],"[[[""epsvall""]]]",[],"[""\""500 EPSV ALL has been called.\""""]",105
"control_printf ( SL_FAILURE , ""200 EPRT %s:%i OK"" , addr , port )",325:4:8301:8360,/data/download/bftpd/bftpd/commands.c,"[[""False"", [2433, ""True"", ""( sa . sin_addr . s_addr != remotename . sin_addr . s_addr ) && ( strncasecmp ( config_getoption ( \""ALLOW_FXP\"" ) , \""yes\"" , 3 ) )"", ""Condition""]], [""False"", [2486, ""True"", ""af != 1"", ""Condition""]]]",[],"[[[""sa"", ""sin_addr"", ""s_addr"", ""remotename"", ""sin_addr"", ""s_addr"", ""!=""]], [[""strncasecmp"", ""config_getoption"", ""\""ALLOW_FXP\"""", ""\""yes\"""", ""3""]], [[""int"", ""1"", ""!=""]]]","[[[""char [ 51 ]"", ""51""], ""char [ 51 ]""], [[""int""], ""int""]]","[""\""200 EPRT %s:%i OK\""""]",102
"control_printf ( SL_FAILURE , ""500 The given address is not yours."" )",317:8:8116:8181,/data/download/bftpd/bftpd/commands.c,"[[""True"", [2433, ""True"", ""( sa . sin_addr . s_addr != remotename . sin_addr . s_addr ) && ( strncasecmp ( config_getoption ( \""ALLOW_FXP\"" ) , \""yes\"" , 3 ) )"", ""Condition""]], [""False"", [2486, ""True"", ""af != 1"", ""Condition""]]]",[],"[[[""sa"", ""sin_addr"", ""s_addr"", ""remotename"", ""sin_addr"", ""s_addr"", ""!=""]], [[""strncasecmp"", ""config_getoption"", ""\""ALLOW_FXP\"""", ""\""yes\"""", ""3""]], [[""int"", ""1"", ""!=""]]]",[],"[""\""500 The given address is not yours.\""""]",102
"control_printf ( SL_FAILURE , ""522 Protocol unsupported, use (1)"" )",312:8:7859:7922,/data/download/bftpd/bftpd/commands.c,"[[""True"", [2486, ""True"", ""af != 1"", ""Condition""]], [""False"", [2502, ""True"", ""sscanf ( params , foo , & af , addr , & port ) < 3"", ""Condition""]]]",[],"[[[""int"", ""1"", ""!=""]], [[""sscanf"", ""char *"", ""char [ 20 ]"", ""&"", ""af"", ""char [ 51 ]"", ""&"", ""port"", ""3"", ""<""]]]",[],"[""\""522 Protocol unsupported, use (1)\""""]",17
"control_printf ( SL_FAILURE , ""500 Syntax error."" )",308:8:7761:7808,/data/download/bftpd/bftpd/commands.c,"[[""True"", [2502, ""True"", ""sscanf ( params , foo , & af , addr , & port ) < 3"", ""Condition""]], [""False"", [2560, ""True"", ""strlen ( params ) < 5"", ""Condition""]]]",[],"[[[""sscanf"", ""char *"", ""char [ 20 ]"", ""&"", ""af"", ""char [ 51 ]"", ""&"", ""port"", ""3"", ""<""]], [[""strlen"", ""char *"", ""5"", ""<""]]]",[],"[""\""500 Syntax error.\""""]",18
"control_printf ( SL_FAILURE , ""500 Syntax error."" )",302:8:7526:7573,/data/download/bftpd/bftpd/commands.c,"[[""True"", [2560, ""True"", ""strlen ( params ) < 5"", ""Condition""]], [""False"", [2581, ""True"", ""epsvall"", ""Condition""]]]",[],"[[[""strlen"", ""char *"", ""5"", ""<""]], [[""epsvall""]]]",[],"[""\""500 Syntax error.\""""]",103
"control_printf ( SL_FAILURE , ""500 EPSV ALL has been called."" )",298:8:7405:7464,/data/download/bftpd/bftpd/commands.c,"[[""True"", [2581, ""True"", ""epsvall"", ""Condition""]]]",[],"[[[""epsvall""]]]",[],"[""\""500 EPSV ALL has been called.\""""]",105
"control_printf ( SL_SUCCESS , ""227 Entering Passive Mode (%i,%i,%i,%i,%i,%i)"" , a1 , a2 , a3 , a4 , ntohs ( localsock . sin_port ) >> 8 , ntohs ( localsock . sin_port ) & 0xFF )",396:1:10515:10676,/data/download/bftpd/bftpd/commands.c,"[[""True"", [2804, ""True"", ""listen ( pasvsock , 1 )"", ""Condition""]], [""False"", [2947, ""True"", ""bind ( pasvsock , ( struct sockaddr * ) & sa , sizeof ( sa ) ) == - 1"", ""Condition""]], [""False"", [2835, ""True"", ""! success"", ""Condition""]]]",[],"[[[""listen"", ""pasvsock"", ""1""]], [[""bind"", ""pasvsock"", ""&"", ""sa"", ""-"", ""1"", ""==""]], [[""!"", ""int""]]]","[[[""int"", ""a2"", ""a3"", ""a4""], ""a4""], [[""int"", ""a2"", ""a3"", ""a4""], ""a3""], [[""int"", ""a2"", ""a3"", ""a4""], ""a2""], [[""int"", ""a2"", ""a3"", ""a4""], ""int""], [[""struct sockaddr_in""], ""struct sockaddr_in""]]","[""\""227 Entering Passive Mode (%i,%i,%i,%i,%i,%i)\"""", ""8"", ""0xFF""]",104
