class,check,variable
199,"[""strncmp_ret""]","[null, null, ""getvalue_arg_ret"", null, ""int"", ""getvalue_arg_ret"", ""getvalue_arg_ret"", null, ""getvalue_arg_ret"", null, ""getvalue_arg_ret"", null]"
200,"[""char"", ""char""]","[null, null, ""server_rec"", null, ""char""]"
201,"[""magic_rsl_puts_arg"", null, null, null, null, null, null, null]","[null, null, ""magic_rsl_puts_arg_ret"", null, ""char""]"
202,"[""magic_rsl_puts_arg"", null, null]","[null, null, ""magic_rsl_puts_arg_ret"", null, ""magic_rsl_puts_arg_ret"", null, null]"
203,"[""apr_isprint_ret"", ""apr_isprint_ret"", ""apr_isprint_ret"", ""apr_isprint_ret""]","[null, null, ""mget_arg"", null, null, null, ""apr_isprint_arg_ret"", null, null, ""apr_isprint_arg_ret"", null, null, ""apr_isprint_arg_ret"", null, null, ""apr_isprint_arg_ret""]"
204,"[""apr_isprint_ret"", ""apr_isprint_ret"", ""apr_isprint_ret"", ""apr_isprint_ret""]","[null, null, ""mget_arg"", null, ""apr_isprint_arg_ret"", null, ""apr_isprint_arg_ret"", null]"
205,"[""mget_ret"", ""mcheck_ret""]","[null, null, ""mcheck_arg_ret"", null, "" struct magic"", null, "" struct magic"", "" struct magic"", null, "" struct magic"", ""int"", "" struct magic"", null]"
206,"[""mget_ret"", ""mcheck_ret""]","[null, null, ""mcheck_arg_ret"", null, ""mcheck_arg_ret"", null, ""mcheck_arg_ret"", null, ""mcheck_arg_ret"", null, null, ""mcheck_arg_ret"", null, ""mget_arg_ret""]"
207,"[""mget_ret"", ""mcheck_ret""]","[null, null, ""mprint_arg_ret"", null, ""mprint_arg_ret"", null, ""mprint_arg_ret"", ""int"", ""mprint_arg_ret"", null, ""mprint_arg_ret"", null, null, ""mprint_arg_ret"", null, ""mget_arg_ret""]"
1636,"[""mget_ret"", ""mcheck_ret""]","[null, null, ""mprint_arg_ret"", null, ""int""]"
208,"[""signextend_arg"", null, null, null, null, null]","[null, null, ""magic_rsl_printf_arg_ret"", null, ""signextend_arg"", null]"
209,"["" struct magic"", null, null, null, null, null, null, null, null, null, null, null, null]","[null, null, ""request_rec"", null, "" struct magic"", null]"
210,"[""signextend_arg"", null, null, ""signextend_arg"", null, null]","[null, null, ""request_rec"", null]"
211,"[""signextend_arg"", null]","[null, null, ""request_rec"", null, ""signextend_arg"", null]"
212,"[""signextend_arg_ret"", null]","[null, null, ""request_rec"", ""signextend_ret""]"
1637,"[""signextend_arg_ret"", null]","[null, null, ""request_rec"", ""signextend_ret"", ""unsigned"", ""int""]"
