class,check,variable
68,"[""pgp_ask_for_key_ret"", ""pgp_ask_for_key_ret""]",[]
69,"[""mutt_check_menu_ret"", ""int"", ""int""]",[]
70,"[""try_bind_ret"", ""try_bind_arg_ret""]",[]
71,"[""sizeof_arg"", ""int"", null]",[]
72,"[""ctrl_ret"", ""getch_ret"", null, ""getch_ret""]",[]
73,"[""safe_realloc_arg_ret"", ""mutt_menuLoop_arg_ret"", null, null]",[]
74,"[""safe_realloc_arg_ret"", ""mutt_menuLoop_arg_ret"", null, null]","[""N__ret""]"
729,[null],"[null, null]"
75,"[""mutt_get_field_arg""]",[]
76,"[""smime_get_key_by_addr_ret""]",[]
77,"[""smime_get_key_by_addr_ret"", null, ""int""]",[]
679,"[""smime_invoke_ret"", ""fileno_ret"", ""fileno_ret"", ""smime_invoke_ret""]",[]
78,"[""smime_invoke_ret"", ""fileno_ret"", ""smime_invoke_ret""]",[]
79,"[""smime_extract_certificate_ret"", ""smime_extract_certificate_ret""]","[null, ""smime_invoke_arg_ret""]"
80,"[""smime_extract_signer_certificate_ret"", ""smime_extract_signer_certificate_ret""]",[]
81,"[""smime_handle_cert_email_arg""]",[]
82,"[""mutt_is_application_smime_ret"", null]","[null, ""smime_invoke_verify_arg_ret""]"
83,"[""fgetc_ret"", ""fgetc_ret"", null]","[""crypt_current_time_arg_ret""]"
84,"[""fgetc_ret"", ""fgetc_ret"", null]",[]
530,"[""mutt_is_application_smime_ret"", null]","[""crypt_current_time_arg_ret""]"
680,"[""mutt_is_application_smime_ret"", null]",[]
85,"[""safe_fclose_arg_ret""]","[null, ""safe_fopen_ret""]"
531,"[""mutt_is_application_smime_ret"", null]","[""mutt_body_handler_arg_ret""]"
681,"[""option_ret"", ""crypt_opportunistic_encrypt_arg"", null, null]",[]
682,"[""mutt_multi_choice_ret"", ""mutt_multi_choice_ret""]",[]
532,"[""smime_ask_for_key_ret"", ""smime_ask_for_key_ret""]",[]
684,"[""mutt_system_ret""]",[]
728,[null],[null]
86,"[""char"", ""char""]","[""char""]"
87,"[""char""]","[""char"", ""fflush_arg""]"
88,"[""char""]","[""fflush_arg""]"
533,"[""char""]",[]
89,"[""char""]",[null]
534,"[""int"", null]","[null, null]"
90,"["" ctx mx_ops open_append_arg"", null]",[]
