class,class_size,check,variable
1081,1,"[""hc_valid_expr_f_arg"", null, ""hc_valid_expr_f_arg"", null, null]","[""APLOGNO_ret"", null, null, ""hc_valid_expr_f_arg""]"
1082,1,"[""ap_proxy_get_worker_ret"", ""int""]","[""APLOGNO_ret"", null, null, ""hc_valid_expr_f_arg""]"
1083,1,"[""recalc_factors_arg_ret"", ""int""]","[""APLOGNO_ret"", null, null, ""hc_valid_expr_f_arg_ret""]"
1084,1,"[""PROXY_GLOBAL_LOCK_ret"", ""PROXY_GLOBAL_LOCK_ret"", null]","[""APLOGNO_ret"", null, null, ""PROXY_GLOBAL_LOCK_ret"", ""hc_valid_expr_f_arg_ret"", ""PROXY_GLOBAL_LOCK_arg_ret"", null, ""strcmp_arg_ret""]"
1085,1,"["" storage grab_ret"", "" storage grab_ret"", null]","[""APLOGNO_ret"", null, null, "" storage grab_ret"", ""hc_valid_expr_f_arg_ret""]"
2725,5,"[""PROXY_GLOBAL_UNLOCK_ret"", ""PROXY_GLOBAL_UNLOCK_ret"", null]","[""APLOGNO_ret"", null, null, ""PROXY_GLOBAL_UNLOCK_ret"", ""hc_valid_expr_f_arg_ret"", ""PROXY_GLOBAL_UNLOCK_arg_ret"", null, ""strcmp_arg_ret""]"
1086,1,"["" storage dptr_ret"", "" storage dptr_ret"", null]","[""APLOGNO_ret"", null, null, "" storage dptr_ret"", ""hc_valid_expr_f_arg_ret""]"
1087,1,"[""ap_proxy_share_worker_ret"", ""ap_proxy_share_worker_ret"", null]","[""APLOGNO_ret"", null, null, ""ap_proxy_share_worker_ret"", ""hc_valid_expr_f_arg_ret""]"
1088,1,"[""ap_proxy_initialize_worker_ret"", ""ap_proxy_initialize_worker_ret"", null]","[""APLOGNO_ret"", null, null, ""ap_proxy_initialize_worker_ret"", ""hc_valid_expr_f_arg_ret""]"
1089,1,"[""PROXY_GLOBAL_UNLOCK_ret"", ""PROXY_GLOBAL_UNLOCK_ret"", null]","[""APLOGNO_ret"", null, null, ""ap_construct_url_arg_ret""]"
2727,6,"[""apr_table_get_ret""]","[""ap_set_content_type_arg_ret""]"
1090,1,"[""apr_table_get_ret""]","[""ap_set_content_type_arg_ret"", ""PROXY_THREAD_UNLOCK_arg_ret"", null, ""strcmp_arg_ret"", null]"
1091,1,"[""PROXY_THREAD_UNLOCK_arg_ret"", null, null]","[""ap_set_content_type_arg_ret"", ""PROXY_THREAD_UNLOCK_arg_ret"", null, null, null]"
1092,1,"[""apr_table_get_ret""]","[""ap_rprintf_arg_ret"", ""PROXY_THREAD_UNLOCK_arg_ret"", ""ap_lookup_provider_ret"", ""strcmp_arg_ret"", null]"
2778,18,"[""apr_table_get_ret""]","[""ap_rprintf_arg_ret""]"
1093,1,"[""apr_table_get_ret""]","[""ap_proxy_worker_name_ret"", ""ap_rprintf_arg_ret"", null]"
2497,2,"[""apr_table_get_ret""]","[""ap_rprintf_arg_ret"", ""ap_proxy_worker_name_arg_ret"", null, null, null]"
