class,class_size,check,variable
2908,2,"["" struct slot_results"", null, null]","[null, "" struct slot_results"", null]"
1234,1,"[""refresh_lock_ret""]","[null, ""refresh_lock_arg_ret"", null]"
1235,1,"[""start_put_arg"", null, null, ""start_put_arg"", null]","[""oid_to_hex_ret"", null, ""start_put_arg_ret"", null, ""start_put_arg_ret"", null]"
1236,1,"[""start_put_arg_ret"", null, null]","[""oid_to_hex_ret"", null, ""start_move_arg_ret"", null, ""start_move_arg_ret"", null]"
2909,2,[null],"[""oid_to_hex_ret"", null]"
1237,1,"[""start_move_arg_ret"", null, null]","[""oid_to_hex_ret"", null, ""release_request_arg_ret"", null, ""release_request_arg_ret"", null]"
1238,1,"[""start_fetch_packed_arg_ret"", null, null]","[null, ""start_fetch_packed_arg_ret"", null, null]"
1239,1,"["" struct slot_results"", null, null, "" struct slot_results"", null]","[null, ""curl_setup_http_get_arg_ret""]"
2910,3,"[""XML_Parse_ret"", null]","[""XML_ErrorString_ret"", ""XML_GetErrorCode_ret"", null]"
1240,1,"[""strcmp_ret"", "" struct remote_ls_ctx"", null, null]","[null, "" struct remote_ls_ctx"", null]"
1241,1,"[""strncmp_ret""]","[""strncmp_arg_ret"", ""strncmp_arg_ret""]"
1242,1,"[""int""]","[null, null]"
1243,1,"["" struct slot_results"", null, null]","[null, null, "" struct slot_results"", null]"
1244,1,"[""start_active_slot_ret""]","[null, null]"
2911,2,"["" struct slot_results"", null, null]","[null, "" struct slot_results"", null, "" struct slot_results"", null]"
1245,1,"[""http_fetch_ref_ret""]","[null, ""alloc_ref_arg_ret"", null, null]"
1246,1,"[""has_object_file_ret"", null, null]","[""oid_to_hex_ret"", null, ""alloc_ref_arg_ret""]"
1247,1,"[""http_fetch_ref_ret""]","[null, "" struct remote_ls_ctx"", null, null, null]"
1248,1,"[""parse_object_ret""]","[""oid_to_hex_ret"", null, "" struct remote_ls_ctx"", null]"
2912,2,"[""http_get_strbuf_ret"", null]","[""http_get_strbuf_arg_ret"", null]"
2913,2,"[""int""]","[""memcmp_arg_ret""]"
2914,2,"[""fetch_symref_arg_ret""]",[]
